Entity,Year,Annual-co2-emissions-per-capita
Africa,1950,0.41742998
Europe,1950,4.3333874
South America,1950,0.99184644
Oceania,1950,5.181565
North America,1950,12.814198
Asia,1950,0.2905497
Africa,1951,0.43552738
Europe,1951,4.740508
South America,1951,1.126005
Oceania,1951,5.4429026
Asia,1951,0.32374814
North America,1951,13.019993
Europe,1952,4.847306
South America,1952,1.181007
Oceania,1952,5.5204287
North America,1952,12.454445
Asia,1952,0.3517313
Africa,1952,0.46495628
North America,1953,12.4987335
Africa,1953,0.46184626
Oceania,1953,5.381323
Europe,1953,4.9376793
Asia,1953,0.3684529
South America,1953,1.142707
Asia,1954,0.39505136
South America,1954,1.1944102
North America,1954,11.757281
Oceania,1954,5.668696
Africa,1954,0.4740996
Europe,1954,5.2017517
North America,1955,12.566824
Europe,1955,5.608118
Africa,1955,0.5104573
Oceania,1955,5.87014
South America,1955,1.3086175
Asia,1955,0.44023353
Africa,1956,0.52109855
Oceania,1956,6.029933
Asia,1956,0.47805512
North America,1956,12.965172
Europe,1956,5.91675
South America,1956,1.3787397
Oceania,1957,5.926848
Asia,1957,0.5260619
South America,1957,1.4047863
Africa,1957,0.5340307
Europe,1957,6.110579
North America,1957,12.617422
Oceania,1958,5.9268723
Asia,1958,0.6937611
Europe,1958,6.1139913
North America,1958,12.029187
Africa,1958,0.5485227
South America,1958,1.2662007
South America,1959,1.357352
Europe,1959,6.188381
North America,1959,12.137969
Africa,1959,0.53325933
Oceania,1959,6.1287484
Asia,1959,0.8213183
Africa,1960,0.5515589
South America,1960,1.3348037
Europe,1960,6.5422263
Oceania,1960,6.3654613
North America,1960,12.184283
Asia,1960,0.9053701
Europe,1961,6.7137985
South America,1961,1.3157191
North America,1961,11.927622
Africa,1961,0.5571884
Asia,1961,0.80740345
Oceania,1961,6.2192497
Asia,1962,0.76224965
Africa,1962,0.5584053
Europe,1962,7.0163207
South America,1962,1.3684472
North America,1962,12.157618
Oceania,1962,6.2795796
North America,1963,12.408549
Asia,1963,0.78736395
Oceania,1963,6.5249224
South America,1963,1.3551829
Africa,1963,0.5776179
Europe,1963,7.3903
North America,1964,12.813599
South America,1964,1.3843299
Africa,1964,0.6187093
Asia,1964,0.8123384
Oceania,1964,6.928136
Europe,1964,7.6895933
North America,1965,13.111469
Asia,1965,0.86728203
Africa,1965,0.66565555
South America,1965,1.4068013
Oceania,1965,7.4014115
Europe,1965,7.8493195
Europe,1966,8.0561285
Africa,1966,0.6717069
North America,1966,13.52783
South America,1966,1.4391798
Asia,1966,0.9221418
Oceania,1966,7.407485
Europe,1967,8.172168
North America,1967,13.889937
Asia,1967,0.91480285
South America,1967,1.4890924
Africa,1967,0.702103
Oceania,1967,7.616136
North America,1968,14.21252
Europe,1968,8.49377
Oceania,1968,7.8463597
South America,1968,1.5633702
Africa,1968,0.7429684
Asia,1968,0.9864949
Oceania,1969,8.135063
Africa,1969,0.7817592
South America,1969,1.6518003
Europe,1969,8.899529
North America,1969,14.679711
Asia,1969,1.0931066
Africa,1970,0.829414
North America,1970,15.584216
South America,1970,1.7513161
Oceania,1970,8.588377
Asia,1970,1.2568238
Europe,1970,9.277427
Asia,1971,1.3437446
Europe,1971,9.567956
North America,1971,15.4799795
Africa,1971,0.88617426
South America,1971,1.7554147
Oceania,1971,8.578459
South America,1972,1.7948825
Africa,1972,0.915562
Europe,1972,9.849934
North America,1972,15.991182
Oceania,1972,8.553113
Asia,1972,1.3894107
Oceania,1973,9.347587
Asia,1973,1.4592707
Africa,1973,0.95795256
North America,1973,16.466454
Europe,1973,10.226584
South America,1973,1.9000632
Asia,1974,1.4533628
Africa,1974,0.95793664
Europe,1974,10.192809
South America,1974,1.9703422
Oceania,1974,9.052112
North America,1974,15.785237
South America,1975,1.904102
North America,1975,15.187673
Asia,1975,1.493025
Europe,1975,10.193174
Oceania,1975,9.200725
Africa,1975,0.9288439
Asia,1976,1.5561897
Oceania,1976,8.9612665
Africa,1976,0.9794823
Europe,1976,10.689769
South America,1976,1.8969628
North America,1976,15.863091
Africa,1977,0.98201233
Oceania,1977,9.461853
Europe,1977,10.717331
South America,1977,1.9236169
Asia,1977,1.6249511
North America,1977,16.07856
Europe,1978,11.003916
Asia,1978,1.6662923
South America,1978,1.9990671
Oceania,1978,9.632324
North America,1978,16.07402
Africa,1978,1.0191712
Africa,1979,1.0680178
Asia,1979,1.7024306
Oceania,1979,9.524007
Europe,1979,11.213791
North America,1979,16.14548
South America,1979,2.0912092
Oceania,1980,9.991514
North America,1980,15.427117
South America,1980,2.103069
Europe,1980,11.168543
Africa,1980,1.1140877
Asia,1980,1.6678641
North America,1981,14.868429
Europe,1981,10.716284
Africa,1981,1.1084132
Asia,1981,1.625483
Oceania,1981,10.207458
South America,1981,1.981591
Europe,1982,10.587687
Asia,1982,1.6475612
North America,1982,14.051386
South America,1982,1.9432836
Oceania,1982,10.280801
Africa,1982,1.121514
Europe,1983,10.554657
North America,1983,13.7050705
South America,1983,1.8822058
Asia,1983,1.680072
Africa,1983,1.1334519
Oceania,1983,9.677703
North America,1984,14.194927
South America,1984,1.8638874
Asia,1984,1.74361
Europe,1984,10.585131
Africa,1984,1.2038226
Oceania,1984,10.00447
North America,1985,14.020034
Asia,1985,1.809716
Africa,1985,1.1997913
Europe,1985,11.002175
Oceania,1985,10.278079
South America,1985,1.8638341
Africa,1986,1.2082844
Oceania,1986,10.149924
North America,1986,13.801871
Europe,1986,10.975837
Asia,1986,1.8502374
South America,1986,1.9278964
North America,1987,14.142347
Africa,1987,1.1745242
Asia,1987,1.8911842
Europe,1987,10.961012
Oceania,1987,10.470966
South America,1987,1.9877161
Europe,1988,10.967613
Africa,1988,1.2005676
Oceania,1988,10.596902
North America,1988,14.574587
Asia,1988,2.003435
South America,1988,2.0290544
North America,1989,14.650121
Oceania,1989,11.050618
Asia,1989,2.033325
Europe,1989,10.879464
Africa,1989,1.1250036
South America,1989,1.9879516
Africa,1990,1.03304
Asia,1990,2.0583844
Oceania,1990,11.675661
North America,1990,14.370709
South America,1990,2.0173042
Europe,1990,11.133637
South America,1991,2.0056453
Africa,1991,1.0515889
Oceania,1991,11.552641
Europe,1991,10.686875
Asia,1991,2.2653565
North America,1991,14.018395
Africa,1992,0.99396455
Asia,1992,2.1804879
South America,1992,2.0096579
Oceania,1992,11.632508
North America,1992,14.092972
Europe,1992,9.779539
Asia,1993,2.2445257
Oceania,1993,11.619066
Africa,1993,1.0269243
South America,1993,2.0865347
North America,1993,14.116726
Europe,1993,9.364826
Africa,1994,1.1202403
South America,1994,2.060601
Oceania,1994,11.630621
North America,1994,14.1854725
Asia,1994,2.3132675
Europe,1994,8.861366
Oceania,1995,11.850443
North America,1995,14.11542
South America,1995,2.1290908
Europe,1995,8.826845
Africa,1995,1.1676878
Asia,1995,2.3707252
Oceania,1996,11.953363
Asia,1996,2.4322503
Africa,1996,1.1761504
North America,1996,14.402925
Europe,1996,8.891271
South America,1996,2.1872687
South America,1997,2.2939594
Europe,1997,8.607609
Oceania,1997,12.122406
Asia,1997,2.4314637
Africa,1997,1.1761436
North America,1997,14.457618
Oceania,1998,12.386753
South America,1998,2.4339483
North America,1998,14.414986
Africa,1998,1.1716696
Asia,1998,2.3307304
Europe,1998,8.572088
Asia,1999,2.4293537
South America,1999,2.3580356
Africa,1999,1.127536
North America,1999,14.426215
Oceania,1999,12.559897
Europe,1999,8.461659
Asia,2000,2.497625
South America,2000,2.3227668
Oceania,2000,12.614959
Europe,2000,8.460033
Africa,2000,1.1373366
North America,2000,14.755113
Africa,2001,1.0970197
Oceania,2001,12.746045
Asia,2001,2.5074375
Europe,2001,8.635014
South America,2001,2.23338
North America,2001,14.391762
North America,2002,14.327525
Africa,2002,1.0464746
South America,2002,2.2826743
Europe,2002,8.589781
Oceania,2002,12.715098
Asia,2002,2.6111252
Africa,2003,1.122038
North America,2003,14.394876
South America,2003,2.2558794
Europe,2003,8.784932
Asia,2003,2.8381112
Oceania,2003,12.802911
South America,2004,2.327948
Oceania,2004,13.0159855
Europe,2004,8.820896
North America,2004,14.4324
Africa,2004,1.156532
Asia,2004,2.9711335
Oceania,2005,12.965511
Africa,2005,1.1474754
South America,2005,2.3666465
Europe,2005,8.800663
North America,2005,14.365811
Asia,2005,3.148226
Africa,2006,1.1492242
Europe,2006,8.927101
South America,2006,2.4138668
Oceania,2006,12.925481
Asia,2006,3.3247905
North America,2006,14.083263
Oceania,2007,12.91627
Asia,2007,3.4574094
Africa,2007,1.1514653
North America,2007,14.132756
Europe,2007,8.85035
South America,2007,2.4787736
South America,2008,2.5664637
North America,2008,13.537301
Oceania,2008,12.778498
Africa,2008,1.1750045
Europe,2008,8.725916
Asia,2008,3.5965998
North America,2009,12.491138
Europe,2009,8.01011
Asia,2009,3.6788867
Africa,2009,1.1426399
Oceania,2009,12.534983
South America,2009,2.472054
Asia,2010,3.9091635
North America,2010,12.761778
Oceania,2010,12.276805
Africa,2010,1.153414
Europe,2010,8.308571
South America,2010,2.7291338
Africa,2011,1.1608971
Europe,2011,8.192382
North America,2011,12.449388
Asia,2011,4.150337
Oceania,2011,12.037038
South America,2011,2.7435672
South America,2012,2.853074
North America,2012,11.982627
Asia,2012,4.2622857
Oceania,2012,11.928909
Europe,2012,8.110392
Africa,2012,1.1321875
Asia,2013,4.268991
North America,2013,12.10214
Europe,2013,7.889541
Africa,2013,1.1114453
Oceania,2013,11.536463
South America,2013,2.9844196
South America,2014,3.0044835
Africa,2014,1.1508118
Europe,2014,7.567912
Asia,2014,4.2966805
North America,2014,12.049802
Oceania,2014,11.247753
Europe,2015,7.5570736
Africa,2015,1.1003323
Oceania,2015,11.272197
Asia,2015,4.2871428
North America,2015,11.67997
South America,2015,2.8904772
South America,2016,2.7620711
Asia,2016,4.2737656
North America,2016,11.321468
Oceania,2016,11.280381
Europe,2016,7.5343156
Africa,2016,1.1016515
Oceania,2017,11.201084
Africa,2017,1.0856832
South America,2017,2.6947637
North America,2017,11.131459
Asia,2017,4.348663
Europe,2017,7.565342
South America,2018,2.5143125
Africa,2018,1.0491422
North America,2018,11.3473015
Asia,2018,4.445855
Europe,2018,7.5211334
Oceania,2018,11.082192
Africa,2019,1.0992943
Asia,2019,4.506658
Europe,2019,7.276999
North America,2019,11.06931
Oceania,2019,10.930183
South America,2019,2.4930851
Asia,2020,4.4004188
Europe,2020,6.731591
South America,2020,2.2294097
Africa,2020,0.9982174
North America,2020,9.889759
Oceania,2020,10.24328
Asia,2021,4.567902
Europe,2021,7.1178274
South America,2021,2.50236
Africa,2021,1.0311713
North America,2021,10.459453
Oceania,2021,9.883469
Europe,2022,6.8578663
North America,2022,10.5346775
Asia,2022,4.611434
Africa,2022,0.99422127
Oceania,2022,9.85179
South America,2022,2.4865332
